(陋,1)
(脟,1)
(虏,1)
(聦,2)
(禄,2)
(脼,2)
(卢,2)
(脦,2)
(茂,2)
(忙,2)
(颅,2)
(毛,2)
(卯,2)
(氓,3)
(脙,4)
(脳,4)
(脗,4)
(么,5)
(篓,5)
(酶,6)
(聶,7)
(碌,9)
(锚,10)
(茫,10)
(芦,11)
(娄,12)
(漏,12)
(卤,19)
(拢,19)
(路,24)
(潞,25)
(没,27)
(搂,29)
(莽,35)
(芒,41)
(戮,43)
(垄,63)
(录,87)
(掳,115)
(陆,256)
(庐,895)
(X,9669)
(Q,14113)
(Z,17511)
(7,29708)
(9,37253)
(8,41374)
(6,52666)
(J,54723)
(4,76608)
(3,88008)
(U,89933)
(V,90271)
(K,95304)
(5,97786)
(Y,106930)
(2,152371)
(q,155604)
(F,162404)
(R,167557)
(D,170781)
(G,171633)
(L,171979)
(1,184117)
(P,186634)
(0,194888)
(H,207795)
(N,232198)
(W,248128)
(M,275085)
(B,279615)
(C,280103)
(O,289882)
(E,290407)
(z,291879)
(j,297660)
(x,408364)
(S,410350)
(A,451207)
(T,869329)
(k,1986737)
(I,2074531)
(v,2332780)
(w,3279345)
(p,3409972)
(b,3657396)
(g,3922328)
(y,4272451)
(m,4309794)
(f,4462649)
(c,5276941)
(u,5542901)
(d,7089151)
(l,7668658)
(h,9260103)
(n,11051990)
(r,11248793)
(s,11689179)
(i,12059052)
(o,14383014)
(a,15310327)
(t,17790337)
(e,22482308)
